Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Cart list with changing amount,Firefox 59.0,,2018-05-10 14:18:51,2018-05-10 14:20:46,1m - 54.779s,INCOMPLETE
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:18:51,2018-05-10 14:19:09,17.727s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:18:51,2018-05-10 14:18:57,5.366s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:18:57,2018-05-10 14:19:02,5.679s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:02,2018-05-10 14:19:02,0.132s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:02,2018-05-10 14:19:02,0.065s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:02,2018-05-10 14:19:03,0.508s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:03,2018-05-10 14:19:05,1.761s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:05,2018-05-10 14:19:05,0.232s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:05,2018-05-10 14:19:05,0.231s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:05,2018-05-10 14:19:05,0.233s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:05,2018-05-10 14:19:06,0.230s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:06,2018-05-10 14:19:06,0.259s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:06,2018-05-10 14:19:06,0.228s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:06,2018-05-10 14:19:06,0.227s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:06,2018-05-10 14:19:06,0.047s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:06,2018-05-10 14:19:07,0.233s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:07,2018-05-10 14:19:07,0.223s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:07,2018-05-10 14:19:07,0.048s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:07,2018-05-10 14:19:07,0.231s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:07,2018-05-10 14:19:07,0.230s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:07,2018-05-10 14:19:08,0.101s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:08,2018-05-10 14:19:08,0.233s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:08,2018-05-10 14:19:08,0.226s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:08,2018-05-10 14:19:08,0.044s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:08,2018-05-10 14:19:08,0.233s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:08,2018-05-10 14:19:08,0.224s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:08,2018-05-10 14:19:09,0.041s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:19:09,2018-05-10 14:19:09,0.033s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:19:09,2018-05-10 14:19:09,0.193s,PASSED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:19:09,2018-05-10 14:19:26,17.218s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:19:09,2018-05-10 14:19:14,4.892s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:19:14,2018-05-10 14:19:20,5.869s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:20,2018-05-10 14:19:20,0.106s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:20,2018-05-10 14:19:20,0.088s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:20,2018-05-10 14:19:20,0.514s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:20,2018-05-10 14:19:22,1.754s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:22,2018-05-10 14:19:22,0.228s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:22,2018-05-10 14:19:22,0.224s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:22,2018-05-10 14:19:23,0.229s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:23,2018-05-10 14:19:23,0.225s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:23,2018-05-10 14:19:23,0.263s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:23,2018-05-10 14:19:23,0.226s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:23,2018-05-10 14:19:24,0.226s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:24,2018-05-10 14:19:24,0.051s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:24,2018-05-10 14:19:24,0.237s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:24,2018-05-10 14:19:24,0.230s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:24,2018-05-10 14:19:24,0.084s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:24,2018-05-10 14:19:24,0.239s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:24,2018-05-10 14:19:25,0.227s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:25,2018-05-10 14:19:25,0.049s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:25,2018-05-10 14:19:25,0.229s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:25,2018-05-10 14:19:25,0.222s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:25,2018-05-10 14:19:25,0.043s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:25,2018-05-10 14:19:25,0.229s,PASSED
click,Firefox 59.0,,2018-05-10 14:19:25,2018-05-10 14:19:26,0.221s,PASSED
setText,Firefox 59.0,,2018-05-10 14:19:26,2018-05-10 14:19:26,0.045s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:19:26,2018-05-10 14:19:26,0.031s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:19:26,2018-05-10 14:19:26,0.221s,PASSED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:19:26,2018-05-10 14:20:07,41.377s,FAILED
