Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Cart list with changing amount,Firefox 59.0,,2018-05-10 14:29:55,2018-05-10 14:31:51,1m - 55.394s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:29:56,2018-05-10 14:30:12,15.916s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:29:56,2018-05-10 14:30:01,5.336s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:30:01,2018-05-10 14:30:06,5.230s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:06,2018-05-10 14:30:07,0.127s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:07,2018-05-10 14:30:07,0.067s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:07,2018-05-10 14:30:07,0.730s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:07,2018-05-10 14:30:10,2.292s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:10,2018-05-10 14:30:10,0.234s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:10,2018-05-10 14:30:10,0.232s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:10,2018-05-10 14:30:10,0.233s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:10,2018-05-10 14:30:11,0.229s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.260s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.031s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.022s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.043s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.023s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.020s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.050s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.018s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.016s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.048s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.019s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.020s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.064s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.019s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.016s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.038s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:11,0.019s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:30:11,2018-05-10 14:30:12,0.224s,PASSED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:30:12,2018-05-10 14:30:53,41.482s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 14:30:12,2018-05-10 14:30:17,5.001s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:30:17,2018-05-10 14:30:22,5.409s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:22,2018-05-10 14:30:22,0.077s,PASSED
setText,Firefox 59.0,,2018-05-10 14:30:22,2018-05-10 14:30:22,0.066s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:22,2018-05-10 14:30:23,0.507s,PASSED
click,Firefox 59.0,,2018-05-10 14:30:23,2018-05-10 14:30:53,30.406s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:30:53,2018-05-10 14:31:35,42.054s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 14:30:53,2018-05-10 14:30:58,5.361s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:30:58,2018-05-10 14:31:04,5.704s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:04,2018-05-10 14:31:04,0.080s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:04,2018-05-10 14:31:04,0.060s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:04,2018-05-10 14:31:05,0.470s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:05,2018-05-10 14:31:35,30.368s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:31:35,2018-05-10 14:31:51,15.648s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:31:35,2018-05-10 14:31:40,4.884s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:31:40,2018-05-10 14:31:46,6.532s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:46,2018-05-10 14:31:47,0.098s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:47,2018-05-10 14:31:47,0.081s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:47,2018-05-10 14:31:47,0.436s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:47,2018-05-10 14:31:49,1.762s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:49,2018-05-10 14:31:49,0.230s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:49,2018-05-10 14:31:49,0.226s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:49,2018-05-10 14:31:50,0.234s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.223s,PASSED
click,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.262s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.024s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.018s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.043s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.019s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.020s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.056s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.017s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.015s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.044s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.016s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.018s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.057s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.016s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.014s,PASSED
setText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.036s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:50,0.017s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:31:50,2018-05-10 14:31:51,0.236s,PASSED
