Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Cart list with changing amount,Firefox 59.0,,2018-05-10 14:21:23,2018-05-10 14:23:21,1m - 57.652s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:21:24,2018-05-10 14:21:42,18.544s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:21:24,2018-05-10 14:21:30,5.970s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:21:30,2018-05-10 14:21:35,5.760s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:35,2018-05-10 14:21:36,0.154s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:36,2018-05-10 14:21:36,0.092s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:36,2018-05-10 14:21:36,0.577s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:36,2018-05-10 14:21:38,1.759s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:38,2018-05-10 14:21:38,0.233s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:38,2018-05-10 14:21:39,0.230s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:39,2018-05-10 14:21:39,0.228s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:39,2018-05-10 14:21:39,0.226s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:39,2018-05-10 14:21:39,0.264s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:39,2018-05-10 14:21:39,0.227s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:39,2018-05-10 14:21:40,0.224s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:40,2018-05-10 14:21:40,0.076s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:40,2018-05-10 14:21:40,0.228s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:40,2018-05-10 14:21:40,0.228s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:40,2018-05-10 14:21:40,0.079s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:40,2018-05-10 14:21:41,0.230s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:41,2018-05-10 14:21:41,0.224s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:41,2018-05-10 14:21:41,0.051s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:41,2018-05-10 14:21:41,0.232s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:41,2018-05-10 14:21:41,0.223s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:41,2018-05-10 14:21:41,0.048s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:41,2018-05-10 14:21:42,0.226s,PASSED
click,Firefox 59.0,,2018-05-10 14:21:42,2018-05-10 14:21:42,0.220s,PASSED
setText,Firefox 59.0,,2018-05-10 14:21:42,2018-05-10 14:21:42,0.044s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:21:42,2018-05-10 14:21:42,0.035s,PASSED
