Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Cart list with changing amount,Firefox 59.0,,2018-05-10 14:44:09,2018-05-10 14:47:12,3m - 3.872s,INCOMPLETE
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:44:09,2018-05-10 14:44:53,44.156s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:44:09,2018-05-10 14:44:15,5.717s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:44:15,2018-05-10 14:44:49,34.219s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:49,2018-05-10 14:44:49,0.121s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:49,2018-05-10 14:44:49,0.062s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:49,2018-05-10 14:44:50,0.449s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 14:44:50,2018-05-10 14:44:50,0.149s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:50,2018-05-10 14:44:51,1.250s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:51,2018-05-10 14:44:51,0.231s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:51,2018-05-10 14:44:52,0.230s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.229s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.228s,PASSED
click,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.256s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.032s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.021s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.063s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.026s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.025s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.059s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:52,0.018s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:52,2018-05-10 14:44:53,0.020s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.045s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.021s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.019s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.041s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.016s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.019s,PASSED
setText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.041s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.018s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:53,0.249s,PASSED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:45:51,58.495s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 14:44:53,2018-05-10 14:44:58,4.878s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:44:58,2018-05-10 14:45:20,22.391s,PASSED
setText,Firefox 59.0,,2018-05-10 14:45:20,2018-05-10 14:45:20,0.092s,PASSED
setText,Firefox 59.0,,2018-05-10 14:45:20,2018-05-10 14:45:20,0.061s,PASSED
click,Firefox 59.0,,2018-05-10 14:45:20,2018-05-10 14:45:21,0.698s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 14:45:21,2018-05-10 14:45:21,0.013s,PASSED
click,Firefox 59.0,,2018-05-10 14:45:21,2018-05-10 14:45:51,30.345s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:45:51,2018-05-10 14:46:43,51.120s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 14:45:51,2018-05-10 14:45:57,5.136s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:45:57,2018-05-10 14:46:12,15.066s,PASSED
setText,Firefox 59.0,,2018-05-10 14:46:12,2018-05-10 14:46:12,0.079s,PASSED
setText,Firefox 59.0,,2018-05-10 14:46:12,2018-05-10 14:46:12,0.058s,PASSED
click,Firefox 59.0,,2018-05-10 14:46:12,2018-05-10 14:46:12,0.390s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 14:46:12,2018-05-10 14:46:12,0.013s,PASSED
click,Firefox 59.0,,2018-05-10 14:46:12,2018-05-10 14:46:43,30.363s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 14:46:43,2018-05-10 14:47:12,29.827s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 14:46:43,2018-05-10 14:46:48,4.974s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:46:48,2018-05-10 14:47:02,14.564s,PASSED
setText,Firefox 59.0,,2018-05-10 14:47:02,2018-05-10 14:47:02,0.081s,PASSED
setText,Firefox 59.0,,2018-05-10 14:47:02,2018-05-10 14:47:02,0.057s,PASSED
click,Firefox 59.0,,2018-05-10 14:47:02,2018-05-10 14:47:03,0.431s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 14:47:03,2018-05-10 14:47:03,0.014s,PASSED
click,Firefox 59.0,,2018-05-10 14:47:03,2018-05-10 14:47:12,9.692s,FAILED
